uf13,AM,m1300631,Beruri,
uf13,AM,m1300680,Boa Vista do Ramos,
uf13,AM,m1300706,Boca do Acre,
uf13,AM,m1300805,Borba,
uf13,AM,m1300839,Caapiranga,
uf13,AM,m1300904,Canutama,
uf13,AM,m1301001,Carauari,
uf13,AM,m1301100,Careiro,
uf13,AM,m1301159,Careiro da Várzea,
uf13,AM,m1301209,Coari,
uf13,AM,m1301308,Codajás,
uf13,AM,m1301407,Eirunepé,
uf13,AM,m1301506,Envira,
uf13,AM,m1301605,Fonte Boa,
uf13,AM,m1301654,Guajará,
uf13,AM,m1301704,Humaitá,
uf13,AM,m1301803,Ipixuna,
uf13,AM,m1301852,Iranduba,
uf13,AM,m1301902,Itacoatiara,
uf13,AM,m1301951,Itamarati,
uf13,AM,m1302009,Itapiranga,
uf13,AM,m1302108,Japurá,
uf13,AM,m1302207,Juruá,
uf13,AM,m1302306,Jutaí,
uf13,AM,m1302405,Lábrea,
uf13,AM,m1302504,Manacapuru,
uf13,AM,m1302553,Manaquiri,
uf13,AM,m1302603,Manaus,
uf13,AM,m1302702,Manicoré,
uf13,AM,m1302801,Maraã,
uf13,AM,m1302900,Maués,
uf13,AM,m1303007,Nhamundá,
uf13,AM,m1303106,Nova Olinda do Norte,
uf13,AM,m1303205,Novo Airão,
uf13,AM,m1303304,Novo Aripuanã,
uf13,AM,m1303403,Parintins,
uf13,AM,m1303502,Pauini,
uf13,AM,m1303536,Presidente Figueiredo,
uf13,AM,m1303569,Rio Preto da Eva,
uf13,AM,m1303601,Santa Isabel do Rio Negro,
uf13,AM,m1303700,Santo Antônio do Içá,
uf13,AM,m1303809,São Gabriel da Cachoeira,
uf13,AM,m1303908,São Paulo de Olivença,
uf13,AM,m1303957,São Sebastião do Uatumã,
uf13,AM,m1304005,Silves,
uf13,AM,m1304062,Tabatinga,
uf13,AM,m1304104,Tapauá,
uf13,AM,m1304203,Tefé,
uf13,AM,m1304237,Tonantins,
uf13,AM,m1304260,Uarini,
uf13,AM,m1304302,Urucará,
uf13,AM,m1304401,Urucurituba,
uf16,AP,m1600105,Amapá,
uf16,AP,m1600204,Calçoene,
uf16,AP,m1600212,Cutias,
uf16,AP,m1600238,Ferreira Gomes,
uf16,AP,m1600253,Itaubal,
uf16,AP,m1600279,Laranjal do Jari,
uf16,AP,m1600303,Macapá,
uf16,AP,m1600402,Mazagão,
uf16,AP,m1600501,Oiapoque,
uf16,AP,m1600154,Pedra Branca do Amaparí,
uf16,AP,m1600535,Porto Grande,
uf16,AP,m1600550,Pracuúba,
uf16,AP,m1600600,Santana,
uf16,AP,m1600055,Serra do Navio,
uf16,AP,m1600709,Tartarugalzinho,
uf16,AP,m1600808,Vitória do Jari,
uf29,BA,m2900108,Abaíra,
uf29,BA,m2900207,Abaré,
uf29,BA,m2900306,Acajutiba,
uf29,BA,m2900355,Adustina,
uf29,BA,m2900405,Água Fria,
uf29,BA,m2900603,Aiquara,
uf29,BA,m2900702,Alagoinhas,
uf29,BA,m2900801,Alcobaça,
uf29,BA,m2900900,Almadina,
uf29,BA,m2901007,Amargosa,
uf29,BA,m2901106,Amélia Rodrigues,
uf29,BA,m2901155,América Dourada,
uf29,BA,m2901205,Anagé,
uf29,BA,m2901304,Andaraí,
uf29,BA,m2901353,Andorinha,
uf29,BA,m2901403,Angical,
uf29,BA,m2901502,Anguera,
uf29,BA,m2901601,Antas,
uf29,BA,m2901700,Antônio Cardoso,
uf29,BA,m2901809,Antônio Gonçalves,
uf29,BA,m2901908,Aporá,
uf29,BA,m2901957,Apuarema,
uf29,BA,m2902054,Araças,
